HOVEDSKOLE_INST	INST_NR	INST_NAVN	ENHEDSART	INST_ADR	POSTNR	POSTDISTRIKT	TLF_NR	E_MAIL	WEB_ADR	INST_TYPE_NR	INST_TYPE_NAVN	INST_TYPE_GRUPPE	UNDERV_NIV	INST_LEDER	CVR_NR	KOMMUNE_NR	ADM_KOMMUNE_NAVN	BEL_KOMMUNE	BEL_KOMMUNE_NAVN	BEL_REGION	REGION_NAVN	EJER_KODE	EJERKODE_NAVN	P_NR	VEJKODE	GEO_BREDDE_GRAD	GEO_LAENGDE_GRAD
	101020	Kirkebjerg Skole	Institution uden enheder	Vanløsehøj 4	2720	Vanløse	3366 1440	kirkebjergskole@kk.dk	www.kirkebjergskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Bjarne Oppelstrup	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256377	7992	55.69626213	12.48276009
	101021	Korsager Skole	Institution uden enheder	Grevingevej 15	2700	Brønshøj	3317 3970	korsager@kk.dk	www.korsager.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Peter Aksten	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252711	7372	55.70955982	12.46932566
	101022	Rødkilde Skole	Institution uden enheder	Godthåbsvej 274	2720	Vanløse	3366 1660	roed@kk.dk	www.roed.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Peter Daniel Andersen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252759	2264	55.6970057	12.50700934
	101023	Tingbjerg Skole	Institution uden enheder	Skolesiden 2	2700	Brønshøj	3366 6040	tingbjergskole@kk.dk	www.tingbjergskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Marco Damgaard	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255588	6494	55.71908728	12.48446681
	101029	Tagensbo Skole	Institution uden enheder	Magistervej 4	2400	København NV	8256 5580	tgb@kk.dk	www.tgb.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Tommy Selchau Christiansen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254155	4580	55.70978044	12.53351093
	101030	Holbergskolen	Institution uden enheder	Frederiksborgvej 216	2400	København NV	3366 6400	holbergskolen@kk.dk	www.holbergskolen.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Sune Schnack Rasmussen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252449	1940	55.72445108	12.52876142
	101034	Rådmandsgades Skole	Institution uden enheder	Rådmandsgade 22	2200	København N	3366 4020	raadmandsgadesskole@kk.dk	www.raadmandsgadesskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	7	Martin Wåhlin	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255370	6160	55.69920538	12.54999834
	101035	Guldberg Skole	Institution uden enheder	Sjællandsgade 10	2200	København N	3366 4747	guldbergskole@kk.dk	www.guldbergskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Morten Falgaard Nielsen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255461	6408	55.69318468	12.55314342
	101039	Randersgades Skole	Institution uden enheder	Randersgade 38	2100	København Ø	3366 2650	rgmail@buf.kk.dk	www.rg.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Jesper Friis	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254866	5716	55.70578348	12.58079398
	101041	Strandvejsskolen	Institution uden enheder	Sionsgade 1	2100	København Ø	3366 7900	strandvejsskolen@kk.dk	www.strandvejsskolen.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Michael Jørgensen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255424	6396	55.71124423	12.57920605
	101042	Vibenshus Skole	Institution uden enheder	Kertemindegade 10	2100	København Ø	3366 1555	VibenshusSkole@kk.dk	www.vi.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Christian Munch Thorsen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003253512	3636	55.70875603	12.57882382
	101043	Øster Farimagsgades Skole	Institution uden enheder	Øster Farimagsgade 40	2100	København Ø	3366 3900	oef@kk.dk	www.oef.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Axel Bech	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254167	8588	55.69256402	12.57756795
	101045	Nørre Fælled Skole	Institution uden enheder	Biskop Krags Vænge 7	2100	København Ø	3918 0380	nfs@kk.dk	www.nfs.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Maike Raahauge	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003251624	524	55.70536092	12.5581518
	101047	Christianshavns Skole	Institution uden enheder	Prinsessegade 45	1422	København K	3366 3800	chr@kk.dk	www.chr.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Anni Green Sandhagen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254751	5612	55.67429494	12.59637463
	101049	Dyvekeskolen	Institution uden enheder	Remisevej 16	2300	København S	3530 3090	dyvekeskolen@kk.dk	www.dyveke.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Marck Gylling Tønnesen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255308	5798	55.64855363	12.5954325
	101050	Skolen på Amagerbro	Institution uden enheder	Lybækgade 20	2300	København S	8256 1800	spa@kk.dk	spa.aula.dk	1012	Folkeskoler	Grundskoler mv.	9	Rasmus Bonde	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254064	4456	55.66310924	12.60884242
	101051	Gerbrandskolen	Institution uden enheder	Gerbrandsvej 9	2300	København S	3366 4900	gerbrandskolen@kk.dk	gerbrandskolen.aula.dk	1012	Folkeskoler	Grundskoler mv.	6	Jesper Larsen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252693	2176	55.6472546	12.61669644
	101052	Højdevangens Skole	Institution uden enheder	Grønløkkevej 1	2300	København S	3317 3518	Hvs@kk.dk	www.hvs.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Tobias Malmgren	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252826	2344	55.64674569	12.60382218
	101053	Skolen ved Sundet	Institution uden enheder	Samosvej 50	2300	København S	3255 1508	svs@kk.dk	www.svs.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Johnni Damgaard Pedersen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255382	6196	55.65323135	12.62801932
	101055	Sundbyøster Skole	Institution uden enheder	Smyrnavej 5	2300	København S	3366 5130	sundbyoesterskole@kk.dk	www.sundbyoesterskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	6	Christina Helverskov Langhoff	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255655	6640	55.6514495	12.61384722
	101058	Lergravsparkens Skole	Institution uden enheder	Østrigsgade 14	2300	København S	3317 5000	lps@kk.dk	www.lps.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Torben Vorstrup	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256730	8620	55.66499493	12.61340634
	101059	Skolen på Islands Brygge	Institution uden enheder	Artillerivej 57	2300	København S	3366 4200	skolenpaaislandsbrygge@buf.kk.dk	sib.aula.dk/	1012	Folkeskoler	Grundskoler mv.	9	Aase Hammer	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003251417	232	55.66292354	12.58319827
	101060	Peder Lykke Skolen	Institution uden enheder	Brydes Allé 25	2300	København S	8256 6950	pederlykkeskolen@kk.dk	www.pederlykkeskolen.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Lennart Kjellerup	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003251855	892	55.65535543	12.59659831
	101062	Bavnehøj Skole	Institution uden enheder	Natalie Zahles Vej 9	2450	København SV	3366 5100	bav@kk.dk	www.bav.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Pia Grevelund	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254349	4944	55.65789588	12.53564973
	101063	Ellebjerg Skole	Institution uden enheder	P. Knudsens Gade 37	2450	København SV	3530 2450	ellebjergskole@kk.dk	www.ellebjergskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Anne Graah	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003253718	3816	55.65107471	12.53161061
	101064	Tove Ditlevsens Skole	Institution uden enheder	Enghave Plads 21	1670	København V	3326 7810	tds@kk.dk	www.tds.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Jeanne Jacobsen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252206	1588	55.66645043	12.54494908
	101069	Oehlenschlægersgades Skole	Institution uden enheder	Oehlenschlægersgade 57	1663	København V	3326 7800	oeh@kk.dk	www.oeh.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Anette Evelyn Lauge	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254556	5240	55.66759755	12.55032319
	101070	Hanssted Skole	Institution uden enheder	Rødbyvej 2	2500	Valby	3630 1831	hanssted@kk.dk	www.hanssted.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Kåre Landgren	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255242	6080	55.66665309	12.48632102
	101071	Kirsebærhavens Skole	Institution uden enheder	Kirsebærhaven 25	2500	Valby	3317 8232	kir@kk.dk	www.kir.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Søren Friis	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003253548	3696	55.64915663	12.50198169
	101072	Lykkebo Skole	Institution uden enheder	Vigerslevvej 141	2500	Valby	3613 0020	lykkeboskole@kk.dk	www.lykkeboskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Søren Friis	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256559	8320	55.66010279	12.48406264
	101074	Valby Skole	Institution uden enheder	Ved Ovnhallen 6	2500	Valby	8232 4444	Valbyskole@kk.dk	www.valbyskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Lise Wenzel Andersen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255047	8087	55.66515349	12.50910807
	101075	Vigerslev Allés Skole	Institution uden enheder	Vigerslev Allé 108	2500	Valby	3317 4800	vas@kk.dk	www.vas.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	René Bang Henriksen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256523	8308	55.6614523	12.50808956
	101076	Ålholm Skole	Institution uden enheder	Vibeholmen 1	2500	Valby	3317 2636	aalholmskole@kk.dk	www.aalholmskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Søren Vith	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256493	8276	55.67008777	12.49505641
	101077	Svanevej Privatskole	Institution uden enheder	Svanevej 10	2400	København NV	3581 6143	post@svanevejprivatskole.dk	www.svanevejprivatskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Jakob Callesen. konst.	43857916			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001845086	7144	55.7003299	12.53508645
	101078	Carolineskolen	Institution uden enheder	Strandvejen 93	2100	København Ø	3929 9500	carolineskolen@carolineskolen.dk	www.carolineskolen.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Uri Krivaa	60656215			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002118515	7004	55.72209125	12.57645038
	101079	Christianshavns Døttreskole	Institution uden enheder	Dronningensgade 67	1420	København K	3257 4553	info@cd1799.dk	www.doettreskolen.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Mette Bitsch Johansen	53289916			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002003079	1352	55.67328268	12.59389224
	101080	Det Kgl Vaisenhus Skole	Institution uden enheder	Nørre Farimagsgade 51	1364	København K	3393 0326	kontor@vajsenhuset.dk	www.vajsenhuset.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Mathias Bruun	10362911			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1000064075	5200	55.68397457	12.56678412
	101081	Institut Sankt Joseph	Institution uden enheder	Dag Hammarskjölds Allé 17	2100	København Ø	3538 4735	ledelse@sanktjoseph.dk	www.sanktjoseph.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	10	Peter Franklin	11962815			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1000306679	1204	55.69419204	12.58230666
	101082	Sankt Ansgars Skole	Institution uden enheder	Nørrebrogade 27	2200	København N	3539 4646	sekretaer@ansgarsskole.dk	www.sanktansgarsskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Kirsten Poulsen	55809712			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002039768	5192	55.68824407	12.55935209
	101083	Krebs' Skole	Institution uden enheder	Stockholmsgade 5	2100	København Ø	3525 3939	krebs@krebs-skole.dk	www.krebs-skole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Mikael Fink-Jensen	55730016			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002038475	6920	55.68979065	12.57559572
	101084	Sankt Annæ Skole	Institution uden enheder	Otto Ruds Vej 7	2300	København S	3258 0535	info@sktannaeskole.dk	www.sanktannaeskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	10	Søren Blinkenberg	53009719			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001998693	5344	55.65383288	12.60714132
	101086	Bordings Friskole	Institution uden enheder	Øster Søgade 86	2100	København Ø	3538 6908	kontor@bordings.dk	www.bordings.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Torsten Bo Kristensen	23176610			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001556930	8608	55.69417373	12.57632215
	101087	Den Lille Skole i København	Institution uden enheder	Lindholmsvej 18	2700	Brønshøj	3860 1616	lilleskolen-kbh@lilleskolen-kbh.dk	www.lilleskolen-kbh.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	6	Erik Fischer	27400019			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001613097	4348	55.699091	12.48694831
	101088	N. Zahles Seminarieskole	Institution uden enheder	Linnésgade 8	1361	København K	3369 7942	seminarieskolen@zahles.dk	www.zahle.skoleporten.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Susanne Emmery	62513217			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1003419220	4352	55.68272301	12.56925596
	101089	Sankt Petri Skole	Institution uden enheder	Larslejsstræde 5	1451	København K	3313 0462	kontor@adm.sanktpetriskole.dk	www.sanktpetriskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Hanne Roswall Laursen. konst.	10195616			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1000034010	4180	55.67973825	12.5696339
	101090	Østerbro Lilleskole	Institution uden enheder	Sionsgade 5a	2100	København Ø	3929 7114	post@osterbrolilleskole.dk	www.oesterbrolilleskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Gitte Mathiasen	28889615			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001637832	6396	55.71105642	12.57992006
	101091	Hovedstadens Privatskoler. Filipskolen	Institution uden enheder	Amager Strandvej 124a	2300	København S	3255 4711	post@filipskolen-kbh.dk	www.filipskolen-kbh.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Tina Waskiw Rasmussen	65038617			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002200256	120	55.6594861	12.63358988
	101092	Amager Lille Skole	Institution uden enheder	Rodosvej 47	2300	København S	3259 1390	info@amagerlilleskole.dk	www.amagerlilleskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Anders Christensen. konst.	22229516			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001544295	5896	55.65132448	12.6173567
	101093	Skolen i Charlottegården	Institution uden enheder	Frederikssundsvej 77	2400	København NV	3530 3130	cha@kk.dk	www.cha.kk.dk	1015	Specialskoler for børn	Grundskoler mv.	10	Andrés Villaro y Lassen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003254726	1964	55.70459282	12.52582065
	101094	Frederiksgård Skole	Institution uden enheder	Ørholmgade 8	2200	København N	3530 5650	frg@kk.dk	www.frg.kk.dk	1015	Specialskoler for børn	Grundskoler mv.	10	Morten Leer	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252450	8556	55.69647303	12.53909587
	101098	Engskolen	Institution uden enheder	Haderslevgade 6	1671	København V	3322 4306	engskolen@kk.dk	www.engskolen.kk.dk	1015	Specialskoler for børn	Grundskoler mv.	10	Susanne Brinkø	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003252905	2508	55.66830253	12.54556806
	101108	Nørrebro Gymnasium	Institution uden enheder	Titangade 13A	2200	København N	3583 1826	nbgym@nbgym.dk	www.nbgym.dk	1063	Studenterkurser	Institutioner med almengymnasiale uddannelser		Kristen Skydsgaard	63717711			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002175665	7484	55.70484565	12.55339841
	101111	Byens Skole	Institution uden enheder	Høffdingsvej 75	2500	Valby	3616 7746	byens@byensskole.dk	www.byens-skole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	10	Morten May	33351313			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001703611	3172	55.65810721	12.50588784
	101115	Rysensteen Gymnasium	Institution uden enheder	Tietgensgade 74	1704	København V	3324 4311	mail@rysensteen.dk	www.rysensteen.dk	1061	Gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Gitte Harding Transbøl	29542708			101	Københavns Kommune	1084	Region Hovedstaden	4	Selvejende. statslige	1003256158	7444	55.67016706	12.56346657
	101117	Sankt Annæ Gymnasium	Institution uden enheder	Sjælør Boulevard 135	2500	Valby	3646 6222	sag@kk.dk	www.sag.dk	1061	Gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Anette Holst	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255515	6412	55.6560852	12.52584515
	101118	Christianshavns Gymnasium	Institution uden enheder	Prinsessegade 35	1422	København K	4329 0300	cg@cg-gym.dk	www.cg-gym.dk	1061	Gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Troels Vang Andersen	29546010			101	Københavns Kommune	1084	Region Hovedstaden	4	Selvejende. statslige	1003254738	5612	55.67324333	12.59545208
	101120	Nørre Gymnasium	Institution uden enheder	Mørkhøjvej 78	2700	Brønshøj	4494 2722	ng@norreg.dk	www.norreg.dk	1061	Gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Jens Boe Nielsen	29575649			101	Københavns Kommune	1084	Region Hovedstaden	4	Selvejende. statslige	1003254337	4912	55.718373	12.47133795
	101121	Københavns åbne Gymnasium	Institution uden enheder	Sjælør Boulevard 133	2500	Valby	3646 3350	kg@adm.kg.dk	www.kg.dk	1061	Gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Anne-Birgitte Rasmussen	29556393			101	Københavns Kommune	1084	Region Hovedstaden	4	Selvejende. statslige	1003255503	6412	55.65558247	12.52425072
	101124	Ingrid Jespersens Gymnasieskole	Institution uden enheder	Nordre Frihavnsgade 9	2100	København Ø	3526 3622	ijg@ijg.dk	www.ijg.dk	1062	Private gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Otto Strange Møller	21480711			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1003419141	5044	55.70028708	12.57854748
	101125	Niels Steensens Gymnasium	Institution uden enheder	Sankt Kjelds Gade 3	2100	København Ø	3916 2340	nsg@nsg.dk	www.nsg.dk	1062	Private gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Kirsten Habekost. konst.	63941611			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1003419153	6264	55.70812808	12.56705443
	101126	N. Zahles Gymnasieskole	Institution uden enheder	Nørre Voldgade 5	1358	København K	3369 7900	gymnasiet@zahles.dk	www.zahlesgym.dk	1062	Private gymnasier og HF-kurser	Institutioner med almengymnasiale uddannelser		Anne Birgitte Klange	62513217			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1005276737	5220	55.68245647	12.56982831
	101127	Øbro Fri Skole	Institution uden enheder	Øster Farimagsgade 16 B	2100	København Ø	3525 3630	skoleleder@obrofriskole.dk	www.obrofriskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	10	Christian Ramnæs	48671217			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001918521	8588	55.69054025	12.5756467
	101129	Landsbyskolen	Institution uden enheder	Engvej 135	2300	København S	3259 8631	kontor@landsbyskolen.dk	www.landsbyskolen.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Stig Jørgensen	12718748			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1000434434	1620	55.64901879	12.63405558
	101132	Nørrebro Lilleskole	Institution uden enheder	Prinsesse Charlottes Gade 34	2200	København N	3535 4501	Kontoret@norrebro-lilleskole.dk	www.norrebro-lilleskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Jacob Hatting	51972317			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1001979069	5604	55.69418935	12.55125807
	101133	Freinet-Skolen	Institution uden enheder	Valby Langgade 117	2500	Valby	2522 2650	Kontor@freinetskolen.dk	www.freinetskolen.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Michael Christiansen	58331112			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002078771	7912	55.66600255	12.50641202
	101135	Vanløse Privatskole	Institution uden enheder	Linde Allé 34	2720	Vanløse	3871 5685	adm.101135@vanloeseprivatskole.dk	www.vanloeseprivatskole.dk	1013	Friskoler og private grundskoler	Grundskoler mv.	9	Lisbet Kjærgaard	82247513			101	Københavns Kommune	1084	Region Hovedstaden	5	Selvejende. private	1002641169	4320	55.68217081	12.48809693
