INST_NR	INST_NAVN_	POSTNR	POSTDISTRI	INST_NAVN	CVR_NR	P_NR	INST_LEDER	TELEFAX	TLF_NR	INST_ADR	VEJKODE	HUSNRBOGST	POSTBOKS	ETAGE	DOERBETEGN	AJOUR_DATO	AJOUR_BRUG	ADM_KOMMUN	ADM_KOMM_1	NEDLAGT_MN	EJER_KODE	EJER_KODE_	Min_KODE	min_KODE_T	UNDERV_NIV	OPRETTET_M	INST_TYPE_	inst_typ_1	INST_TYP_2	inst_typ_3	AKTIV_KODE	AKTIV_KO_1	INST_TYP_4	inst_typ_5	BEL_KOMMUN	BEL_KOMM_1	FLYTTE_KOD	FLYTTE_K_1	FLYTTE_INS	HOVEDSKOLE	E_MAIL	WEB_ADR	ENHEDSART	ENHEDSART_	VEJNAVN	LOKALITET	STEDNAVN	GEO_BREDDE	GEO_LAENGD	status	BEL_REGION	BEL_REGI_1	WKT_GEO
101018	Hyltebjerg Sk.	2720	Vanlõse	Hyltebjerg Skole	64942212	1003252978	Kenneth Christoffersen	3871 4236	3871 4262	Hanstholmvej 10	2608	10	NA	NA	NA	04-10-2017 00:00:00	ds	101	Kõbenhavns Kommune	01-08-2017 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	195611	121	Grundskoler	1012	Folkeskoler	3	Nedlagt institution	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	2	Flyttet til institutionsnummer i flyttet institution	280825	NA	mail@hyltebjergskole.kk.dk	www.hyltebjergskole.kk.dk/	0	Institution uden enheder	Hanstholmvej	NA	NA	55.68483927473712	12.481509939624763	AJO	1084	Region Hovedstaden	POINT(12.4815099 55.6848393)
101019	Katrinedals Sk.	2720	Vanlõse	Katrinedals Skole	64942212	1003256365	Rikke Schultz Pedersen	3871 8446	3874 1742	Vanlõse AllÇ 44	7984	44	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193408	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	katrinedal@kk.dk	www.katrinedal.kk.dk	0	Institution uden enheder	Vanlõse AllÇ	NA	NA	55.69022253	12.49876234	AJO	1084	Region Hovedstaden	POINT(12.4987623 55.6902225)
101020	Kirkebjerg.Sk.	2720	Vanlõse	Kirkebjerg Skole	64942212	1003256377	Bjarne Oppelstrup	3871 7289	3366 1440	Vanlõsehõj 4	7992	4	NA	NA	NA	20-03-2020 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	194009	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	kirkebjergskole@kk.dk	www.kirkebjergskole.kk.dk	0	Institution uden enheder	Vanlõsehõj	NA	NA	55.69626213	12.48276009	AJO	1084	Region Hovedstaden	POINT(12.4827601 55.6962621)
101021	Korsager Sk.	2700	Brõnshõj	Korsager Skole	64942212	1003252711	Peter Aksten	3860 2792	3317 3970	Grevingevej 15	7372	35	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	194810	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	korsager@kk.dk	www.korsager.kk.dk	0	Institution uden enheder	Terslõsevej	NA	NA	55.70955982	12.46932566	AJO	1084	Region Hovedstaden	POINT(12.4693257 55.7095598)
101022	Rõdkilde Sk.	2720	Vanlõse	Rõdkilde Skole	64942212	1003252759	Peter Daniel Andersen	3887 2290	3366 1660	GodthÜbsvej 274	2264	274	NA	NA	NA	31-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	194810	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	roed@kk.dk	www.roed.kk.dk	0	Institution uden enheder	GodthÜbsvej	NA	NA	55.6970057	12.50700934	AJO	1084	Region Hovedstaden	POINT(12.5070093 55.6970057)
101023	Tingbjerg Skole	2700	Brõnshõj	Tingbjerg Skole	64942212	1003255588	Marco Damgaard	3880 1265	3366 6040	Skolesiden 2	6494	2	NA	NA	NA	14-09-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	196508	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	tingbjergskole@kk.dk	www.tingbjergskole.kk.dk	0	Institution uden enheder	Skolesiden	NA	NA	55.71908728	12.48446681	AJO	1084	Region Hovedstaden	POINT(12.4844668 55.7190873)
101024	Vanlõse Sk.	2720	Vanlõse	Vanlõse Skole	64942212	1003256791	Kaj Klint Pedersen	3879 5865	3871 1095	èlekistevej 121	8672	121	NA	NA	NA	04-10-2017 00:00:00	ds	101	Kõbenhavns Kommune	01-08-2017 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	192304	121	Grundskoler	1012	Folkeskoler	3	Nedlagt institution	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	2	Flyttet til institutionsnummer i flyttet institution	280825	NA	mail@van.kk.dk	www.van.kk.dk	0	Institution uden enheder	èlekistevej	NA	NA	55.686466587181506	12.481616601554325	AJO	1084	Region Hovedstaden	POINT(12.4816166 55.6864666)
101029	Tagensbo	2400	Kõbenhavn NV	Tagensbo Skole	64942212	1003254155	Tommy Selchau Christiansen	3581 0590	8256 5580	Magistervej 4	4580	4	NA	NA	NA	31-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193808	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	tgb@kk.dk	www.tgb.kk.dk	0	Institution uden enheder	Magistervej	NA	NA	55.70978044	12.53351093	AJO	1084	Region Hovedstaden	POINT(12.5335109 55.7097804)
101030	Holbergsk.	2400	Kõbenhavn NV	Holbergskolen	64942212	1003252449	Sune Schnack Rasmussen	3969 2868	3366 6400	Frederiksborgvej 216	1940	216	NA	NA	NA	31-01-2019 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	195208	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	holbergskolen@kk.dk	www.holbergskolen.kk.dk	0	Institution uden enheder	Frederiksborgvej	NA	NA	55.72445108	12.52876142	AJO	1084	Region Hovedstaden	POINT(12.5287614 55.7244511)
101034	RÜdmandsg.Sk.	2200	Kõbenhavn N	RÜdmandsgades Skole	64942212	1003255370	Martin WÜhlin	3585 0346	3366 4020	RÜdmandsgade 22	6160	22	NA	NA	NA	19-02-2020 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	7	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	raadmandsgadesskole@kk.dk	www.raadmandsgadesskole.kk.dk	0	Institution uden enheder	RÜdmandsgade	NA	NA	55.69920538	12.54999834	AJO	1084	Region Hovedstaden	POINT(12.5499983 55.6992054)
101035	Guldberg skole	2200	Kõbenhavn N	Guldberg Skole	64942212	1003255461	Morten Falgaard Nielsen	NA	3366 4747	Sjëllandsgade 10	6408	10	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	guldbergskole@kk.dk	www.guldbergskole.kk.dk	0	Institution uden enheder	Sjëllandsgade	NA	NA	55.69318468	12.55314342	AJO	1084	Region Hovedstaden	POINT(12.5531434 55.6931847)
101039	Randersg.Sk.	2100	Kõbenhavn ù	Randersgades Skole	64942212	1003254866	Lotte la Cour Thomsen.	3526 6609	3366 2650	Randersgade 38	5716	38	NA	NA	NA	12-04-2021 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	rgmail@buf.kk.dk	www.rg.kk.dk	0	Institution uden enheder	Randersgade	NA	NA	55.70578348	12.58079398	AJO	1084	Region Hovedstaden	POINT(12.580794 55.7057835)
101041	Strandv.Sk.	2100	Kõbenhavn ù	Strandvejsskolen	64942212	1003255424	Trine Borch, konst.	3918 5738	3366 7900	Sionsgade 1	6396	1	NA	NA	NA	09-09-2021 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	strandvejsskolen@kk.dk	www.strandvejsskolen.kk.dk	0	Institution uden enheder	Sionsgade	NA	NA	55.71124423	12.57920605	AJO	1084	Region Hovedstaden	POINT(12.579206 55.7112442)
101042	Vibenhus Sk.	2100	Kõbenhavn ù	Vibenshus Skole	64942212	1003253512	Christian Munch Thorsen	3542 9034	3366 1555	Kertemindegade 10	3636	10	NA	NA	NA	20-08-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	VibenshusSkole@kk.dk	www.vi.kk.dk	0	Institution uden enheder	Kertemindegade	NA	NA	55.70875603	12.57882382	AJO	1084	Region Hovedstaden	POINT(12.5788238 55.708756)
101043	ù.Farimagsg.Sk.	2100	Kõbenhavn ù	ùster Farimagsgades Skole	64942212	1003254167	Axel Bech	3542 2490	3366 3900	ùster Farimagsgade 40	8588	40	NA	NA	NA	21-06-2021 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	oef@kk.dk	oef.aula.dk	0	Institution uden enheder	ùster Farimagsgade	NA	NA	55.69256402	12.57756795	AJO	1084	Region Hovedstaden	POINT(12.577568 55.692564)
101045	Nõrre Fëlled sk	2100	Kõbenhavn ù	Nõrre Fëlled Skole	64942212	1003251624	Thomas Bisgaard	3918 4380	3918 0380	Biskop Krags Vënge 7	524	7	NA	NA	NA	16-03-2021 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193208	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	nfs@kk.dk	nfs.aula.dk	0	Institution uden enheder	Biskop Krags Vënge	NA	NA	55.70536092	12.5581518	AJO	1084	Region Hovedstaden	POINT(12.5581518 55.7053609)
101047	Christiansh.Sk.	1422	Kõbenhavn K	Christianshavns Skole	64942212	1003254751	Anni Green Sandhagen	3254 8819	3366 3800	Prinsessegade 45	5612	45	NA	NA	NA	10-12-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	chr@kk.dk	www.chr.kk.dk	0	Institution uden enheder	Prinsessegade	NA	NA	55.67429494	12.59637463	AJO	1084	Region Hovedstaden	POINT(12.5963746 55.6742949)
101049	Dyvekesk.	2300	Kõbenhavn S	Dyvekeskolen	64942212	1003255308	Marck Gylling Tõnnesen	3255 8863	3530 3090	Remisevej 16	5798	16	NA	NA	NA	31-08-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	196808	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	dyvekeskolen@kk.dk	www.dyveke.kk.dk	0	Institution uden enheder	Remisevej	NA	NA	55.64855363	12.5954325	AJO	1084	Region Hovedstaden	POINT(12.5954325 55.6485536)
101050	Amagerbro skole	2300	Kõbenhavn S	Skolen pÜ Amagerbro	64942212	1003254064	Jette Nedergaard	3284 3263	8256 1800	Lybëkgade 20	4456	20	NA	NA	NA	17-09-2021 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	197410	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	spa@kk.dk	spa.aula.dk	0	Institution uden enheder	Lybëkgade	NA	NA	55.66310924	12.60884242	AJO	1084	Region Hovedstaden	POINT(12.6088424 55.6631092)
101051	Gerbrandsk.	2300	Kõbenhavn S	Gerbrandskolen	64942212	1003252693	Jesper Larsen	3258 3385	3366 4900	Gerbrandsvej 9	2176	9	NA	NA	NA	15-09-2020 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	6	194810	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	gerbrandskolen@kk.dk	gerbrandskolen.aula.dk	0	Institution uden enheder	Gerbrandsvej	NA	NA	55.6472546	12.61669644	AJO	1084	Region Hovedstaden	POINT(12.6166964 55.6472546)
101052	Hõjdevang.Sk.	2300	Kõbenhavn S	Hõjdevangens Skole	64942212	1003252826	Tobias Malmgren	3258 1939	3317 3518	Grõnlõkkevej 1	2344	1	NA	NA	NA	05-10-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193008	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	Hvs@kk.dk	www.hvs.kk.dk	0	Institution uden enheder	Grõnlõkkevej	NA	NA	55.64674569	12.60382218	AJO	1084	Region Hovedstaden	POINT(12.6038222 55.6467457)
101053	Sk.ved Sundet	2300	Kõbenhavn S	Skolen ved Sundet	64942212	1003255382	Johnni Damgaard Pedersen	3258 7221	3255 1508	Samosvej 50	6196	50	NA	NA	NA	31-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193808	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	svs@kk.dk	www.svs.kk.dk	0	Institution uden enheder	Samosvej	NA	NA	55.65323135	12.62801932	AJO	1084	Region Hovedstaden	POINT(12.6280193 55.6532313)
101055	Sundbyõst.Sk.	2300	Kõbenhavn S	Sundbyõster Skole	64942212	1003255655	Christina Helverskov Langhoff	3255 4777	3366 5130	Smyrnavej 5	6640	5	NA	NA	NA	31-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	6	191304	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	sundbyoesterskole@kk.dk	www.sundbyoesterskole.kk.dk	0	Institution uden enheder	Smyrnavej	NA	NA	55.6514495	12.61384722	AJO	1084	Region Hovedstaden	POINT(12.6138472 55.6514495)
101058	Lergravsp sk	2300	Kõbenhavn S	Lergravsparkens Skole	64942212	1003256730	Torben Vorstrup	3255 3357	3317 5000	ùstrigsgade 14	8620	14	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	190608	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	lps@kk.dk	www.lps.kk.dk	0	Institution uden enheder	ùstrigsgade	NA	NA	55.66499493	12.61340634	AJO	1084	Region Hovedstaden	POINT(12.6134063 55.6649949)
101059	Sk.pÜ Isl.Bryg.	2300	Kõbenhavn S	Skolen pÜ Islands Brygge	64942212	1003251417	Aase Hammer	8233 4333	3366 4200	Artillerivej 57	232	57	NA	NA	NA	05-03-2020 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	197109	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	skolenpaaislandsbrygge@buf.kk.dk	sib.aula.dk/	0	Institution uden enheder	Artillerivej	NA	NA	55.66292354	12.58319827	AJO	1084	Region Hovedstaden	POINT(12.5831983 55.6629235)
